,Nr źródła,C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Wydzielenia grafitu [mm-2],Udział wydzieleń grafitu [%],Średnica sferoidów [μm],Wielkość sferoidów,Nodularity [%],Udział perlitu [%],Udział ferrytu [%],Rm [MPa] (as cast),A5 [%]     (as cast),Minimalna grubość ścianki [mm],Temperatura austenityzacji [˚C],Czas austenityzacji [min.],Temperatura przemiany izotermicznej [˚C],Czas przemiany izotermicznej [min.],Rm [MPa],"R0,2 [MPa]",A5 [%],Twardość Brinella [HB],Twardość Rockwella [HRC],Twardość Rockwella [HRA],Twardość Rockwella [HRB],Twardość Vickersa [HV],Udarność Charpy [J],Temperatura pomiaru udarności [˚C],Udział austenitu %,Martensite volume fraction Xα'
1272,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,20.0,-60.0,,
1273,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,21.0,-40.0,,
1274,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,22.0,-20.0,,
1275,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,24.0,-20.0,,
1276,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,28.0,-20.0,,
1277,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,28.0,0.0,,
1278,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,29.0,0.0,,
1279,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,36.0,0.0,,
1280,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,38.0,25.0,,
1281,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,40.0,25.0,,
1282,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,41.0,42.0,,
1283,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,44.0,42.0,,
1284,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,45.0,75.0,,
1285,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,47.0,75.0,,
1286,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,42.0,100.0,,
1287,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,47.0,100.0,,
1288,135,3.73,2.55,0.023,0.045,0.044,0.3,1.25,1.03,0.18,0.032,0.0,0.0,0.0,0.0,155.3,9.6,29.0,,96.3,,,,,,900.0,60.0,365.0,60.0,625.0,500.0,4.0,329.0,,,,,48.0,100.0,,
1289,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,250.0,60.0,1390.0,,,520.0,,,,,,,,
1290,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,250.0,120.0,1470.0,,,510.0,,,,,,,,
1291,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,250.0,180.0,1420.0,,,515.0,,,,,,,,
1292,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,300.0,60.0,1350.0,,,380.0,,,,,,,,
1293,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,300.0,120.0,1415.0,,,350.0,,,,,,,,
1294,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,300.0,180.0,1270.0,,,360.0,,,,,,,,
1295,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,350.0,60.0,1140.0,,,450.0,,,,,,,,
1296,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,350.0,120.0,1130.0,,,440.0,,,,,,,,
1297,136,3.55,2.78,0.004,0.054,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,900.0,90.0,350.0,180.0,1205.0,,,445.0,,,,,,,,
1298,137,3.6,2.7,0.07,0.02,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,495.3,,,900.0,60.0,270.0,60.0,938.8,,,,,,,,,,,
